Time,Temperature,Dew Point,Humidity (%),Wind Speed (mph),Pressure (Hg),Precipitation (in)
1/05/2020,76.3,68.8,77.5,7.8,30,0
2/05/2020,74.5,69.4,84.1,10.9,29.9,0
3/05/2020,71.2,63.5,77.2,5.5,30,0
4/05/2020,71.7,62.7,73.7,6.5,30,0
5/05/2020,75.3,66.7,75.1,5.4,29.9,0
6/05/2020,77.2,68.5,74.9,7.4,29.9,0
7/05/2020,67.3,63,85.3,6.6,30.1,0
8/05/2020,69.5,61.1,74.6,6.3,30.2,0
9/05/2020,70.4,61.7,74.2,6.7,30.2,0
10/05/2020,71.8,61.2,69.6,5.7,30.1,0
11/05/2020,73,61.5,67.3,7,30.1,0
12/05/2020,73.5,64.5,74.1,7.2,30,0
13/05/2020,74.7,66.2,75.5,6.8,29.9,0
14/05/2020,73.9,68.3,82.7,11.3,29.9,0
15/05/2020,68.3,65.5,91.5,4.5,30.1,0
16/05/2020,72.2,66.4,82.1,5.5,30,0
17/05/2020,72.9,67.7,83.4,7.7,30.1,0
18/05/2020,73.4,68.5,84.3,8.1,30.1,0
19/05/2020,73.5,67.5,81.4,7.7,30.2,0
20/05/2020,73.5,65.3,75.5,6.6,30.2,0
21/05/2020,74,65.6,75.5,4.9,30.1,0
22/05/2020,77.7,65.4,66.8,4.2,30,0
23/05/2020,82.1,67.3,62.2,8,29.9,0
24/05/2020,70.7,64.9,81.8,9.7,29.9,0
25/05/2020,70.7,63.7,79.4,6.5,29.8,0
26/05/2020,70.8,54.7,58,8,29.9,0
27/05/2020,70.2,56.7,63.8,10.3,30,0
28/05/2020,69.9,59.1,69,8.3,30.1,0
29/05/2020,69.2,62.3,78.4,6.7,30.1,0
30/05/2020,70,63.7,80.5,6.6,30,0
1/06/2020,73.5,62.4,69,5,29.9,0
2/06/2020,71.8,64,77,7.6,30,0
3/06/2020,72.7,67.5,83.8,8,30.1,0
4/06/2020,73.2,68.5,84.6,6.4,30.1,0
5/06/2020,74.1,67,78.5,5.4,30.1,0
6/06/2020,74.3,66.8,77.8,5.8,30,0
7/06/2020,74.6,68.4,80.7,6,30,0
8/06/2020,73.6,69.5,86.7,6.7,30,0
9/06/2020,75.2,69.8,82.8,7.5,29.9,0
10/06/2020,75.8,70.8,83.7,7.3,29.9,0
11/06/2020,76,72.2,87.4,6.3,29.9,0
12/06/2020,77.4,71.5,81.6,5.7,29.9,0
13/06/2020,78.6,70.2,75.5,6.4,30,0
14/06/2020,73.2,67.2,82,13.1,30.2,0
15/06/2020,71.1,65.8,84.4,6.2,30.3,0
16/06/2020,72,63.6,75.2,7,30.3,0
17/06/2020,72.8,62.4,69.2,7.9,30.2,0
18/06/2020,71.2,61.7,71.8,5.1,30.1,0
19/06/2020,73.6,63.4,71.3,6.1,30.1,0
20/06/2020,75.8,67.2,75.5,6.7,30.1,0
21/06/2020,77.4,69,76,4.7,30,0
22/06/2020,76.7,64.6,67.4,7.2,30,0
23/06/2020,73.8,62.8,69.1,5.7,30,0
24/06/2020,73.7,58.5,59.8,5.7,29.9,0
25/06/2020,75.3,62.8,65.6,6.5,29.9,0
26/06/2020,75.2,66.7,75,10.7,30,0
27/06/2020,72.8,64.8,76.6,7.8,29.9,0
28/06/2020,70.6,63.2,77.2,8.8,30.1,0
29/06/2020,70.2,62.9,77.7,6.6,30.1,0
1/07/2020,77.5,60.8,57,11.3,29.8,0
2/07/2020,70.8,58.3,64.7,6.8,30,0
3/07/2020,69.6,61.1,74.6,8.7,30,0
4/07/2020,69.5,62.8,78.8,6.5,30.1,0
5/07/2020,73,63.5,73.1,5.1,30,0
6/07/2020,75.3,64.7,71.1,6.7,30,0
7/07/2020,72.9,67.9,84.8,5.9,30,0
8/07/2020,77,63.5,65,7,29.9,0
9/07/2020,73.7,64,72,11.7,30,0
10/07/2020,70.4,59.8,69.4,6.3,30.1,0
11/07/2020,73.8,62.3,67.8,7.5,30,0
12/07/2020,79.5,63.2,58.8,7.8,29.9,0
13/07/2020,77.8,64.9,66.3,7.8,29.9,0
14/07/2020,70.7,67.3,89.1,9.9,30.1,0
15/07/2020,66.3,61.5,84.4,8.1,30.2,0
16/07/2020,67.8,60.7,77.7,5.7,30.2,0
17/07/2020,70.2,63.6,80,6.3,30.1,0
18/07/2020,72,63.5,74.6,5,30.2,0
19/07/2020,72.2,63,73.3,6,30.1,0
20/07/2020,73.2,64.2,74.7,6.6,30.1,0
21/07/2020,73,64.9,76.4,6.7,30,0
22/07/2020,73.3,65,76,7.8,30,0
23/07/2020,74.2,64.3,72.2,7.4,30.1,0
24/07/2020,74,63.4,69.5,7,30,0
25/07/2020,77.5,63.5,62.5,5.6,30.1,0
26/07/2020,74.7,66.7,77,9,30.1,0
27/07/2020,76.5,66,71.3,5.7,30.1,0
28/07/2020,79,64.4,61.8,5.5,30,0
29/07/2020,72.9,66.2,80.1,12.2,30.1,0
30/07/2020,66.7,64,91.1,10.1,30.2,0
