Time,Temperature,Dew Point,Humidity (%),Wind Speed (mph),Pressure (Hg),Precipitation (in)
1/05/2020,72.7,57.6,61.5,8.7,30,0
2/05/2020,75.9,64.1,68.3,10.5,30,0
3/05/2020,77.9,65.8,67.6,9.8,29.9,0
4/05/2020,79,68.4,72.2,9.1,29.8,0
5/05/2020,79,71.2,78,7.7,29.9,0
6/05/2020,75.1,55.7,55.1,11.7,30.1,2.41
7/05/2020,75.5,60,60.3,11,30,0
8/05/2020,78.6,67,68.1,16.8,29.9,0
9/05/2020,69.2,52.3,55.5,13,30.1,0.06
10/05/2020,71.6,51.8,51.1,7.8,30.1,0
11/05/2020,73.5,57.6,59.7,9.4,30.1,0
12/05/2020,76.9,65.1,67.6,12.3,30,0
13/05/2020,77.4,69.1,76.7,9.9,29.9,0.15
14/05/2020,80.5,70.8,73.6,9.9,29.9,0
15/05/2020,76.2,71,84.6,9.5,29.8,0.01
16/05/2020,73.5,66.4,79.5,10.8,29.7,1.8
17/05/2020,76.3,62.8,64.6,8.1,29.8,0.02
18/05/2020,80.4,63,58,6.5,29.8,0.01
19/05/2020,81,70.8,72.8,10.4,29.8,0
20/05/2020,82.5,72.8,73.6,7.2,29.8,0
21/05/2020,81.2,72.3,75.8,9,29.8,0
22/05/2020,82.5,73.7,75.9,10.4,29.8,0
23/05/2020,83.9,73.7,72.4,12.6,29.8,0
24/05/2020,80.1,70.8,74.3,13.1,29.8,0
25/05/2020,75.4,66.5,75,10.7,29.7,0.55
26/05/2020,77.8,64.6,65.6,8.7,29.8,0.1
27/05/2020,74.8,65.4,74,9.5,29.8,0
28/05/2020,76.1,68.4,77.2,7.4,29.9,1.42
29/05/2020,80.3,66.8,65.9,7.7,30,0.12
30/05/2020,81,66.6,62.2,8,30,0
1/06/2020,79.9,69.9,72.9,7.3,30,1.41
2/06/2020,82.1,69.8,68.3,7.3,30,0
3/06/2020,81.5,72.6,74.9,5,29.9,0
4/06/2020,83.1,72.3,71.6,5.9,29.8,0
5/06/2020,83.8,70.4,66.3,4.5,29.9,0
6/06/2020,85.8,71.3,64.4,8.8,29.8,0
7/06/2020,86.6,70,59.3,11,29.6,0
8/06/2020,85.3,73.5,68.2,8.9,29.6,0
9/06/2020,86.1,75.3,71.2,10.5,29.7,0.13
10/06/2020,85,57,43,8.7,30,0
11/06/2020,82.8,53.3,37.7,8.8,30.1,0
12/06/2020,83.3,56.6,41.2,10.4,30.1,0
13/06/2020,83.3,56.8,42.8,10.2,30,0
14/06/2020,82.7,64.4,55.4,8.1,30,0
15/06/2020,84.7,70.5,64.1,8.3,30.1,0
16/06/2020,84,66.6,58.6,6.1,30,0
17/06/2020,82.8,66,59.5,6.1,30,0
18/06/2020,82.8,67,61.4,8.3,29.9,0
19/06/2020,83.6,70.7,66.1,10,29.9,0
20/06/2020,80.5,73.5,79.5,8.6,29.9,0
21/06/2020,82.3,75.1,79.3,8.7,29.9,0.82
22/06/2020,76.8,71.3,83.2,8.2,29.9,0.46
23/06/2020,80.8,72,75.3,8.4,29.8,1.28
24/06/2020,78.4,72.1,81.4,9.4,29.8,0.89
25/06/2020,78.5,73.7,85,7.9,29.9,0.24
26/06/2020,82.6,76.9,82.9,8.9,30,0.74
27/06/2020,84.1,76.2,77.8,10.5,29.9,0.01
28/06/2020,85.2,76.1,75.3,11.7,29.9,0
29/06/2020,85.6,76.4,74.1,13.4,29.8,0
1/07/2020,86,76.4,74.2,11.4,29.9,0
2/07/2020,87.4,75,68.9,8.5,29.9,0
3/07/2020,85.6,72.7,67.5,6.7,29.9,0
4/07/2020,85.5,73.1,68.4,5.6,29.9,0
5/07/2020,85.4,74,70.3,8,29.8,0
6/07/2020,86.4,75.7,71.4,9.4,29.8,0
7/07/2020,86,75.2,71.8,9.2,29.9,0
8/07/2020,87,75.5,70.3,10.3,29.9,0.02
9/07/2020,87.2,75.8,70.3,10.6,29.9,0
10/07/2020,87.5,76.1,70.6,7.5,29.9,0
11/07/2020,87.7,75.2,68.5,6.8,29.9,0
12/07/2020,86.3,75.2,71.3,7.9,29.9,0
13/07/2020,87.1,75.3,70.2,9,29.9,0
14/07/2020,86.6,74,68.2,9.5,29.9,0
15/07/2020,87.3,73.7,66.3,9.7,29.9,0
16/07/2020,87.3,74.1,67.3,7.2,30,0
17/07/2020,82,74.3,78.3,7.1,30,0
18/07/2020,84.6,73.4,69.7,6.9,30,0.95
19/07/2020,85.2,74.5,71,6.4,29.9,0
20/07/2020,82.3,75.4,79.8,8.4,29.9,0
21/07/2020,80,75.3,85.6,8.6,29.9,1.23
22/07/2020,83.8,76.4,78.8,5.4,29.9,0.34
23/07/2020,87.3,74.5,67.6,8.3,29.9,0.25
24/07/2020,84.7,75.5,74.2,14.6,29.8,0
25/07/2020,79.4,75,86.4,13.5,29.8,0.35
26/07/2020,83.8,75.4,75.9,11.6,29.9,2.86
27/07/2020,83.2,74.9,76.7,6.6,29.9,0.01
28/07/2020,80.2,75.3,85.2,5.5,29.9,0
29/07/2020,79.1,74.7,86.3,7.4,29.9,0.73
30/07/2020,85.6,75.6,73.9,9.9,29.9,0.56
