Time,Temperature,Dew Point,Humidity (%),Wind Speed (mph),Pressure (Hg),Precipitation (in)
1/05/2020,26.5,24.9,90.8,6.4,1008.5,0
2/05/2020,28.3,24.7,81.5,5.7,1007.6,0
3/05/2020,28.5,25,81.8,5.7,1007.7,0
4/05/2020,27.9,25.3,85.7,5.3,1008.5,0
5/05/2020,28.2,24.8,83.1,6.1,1008,0
6/05/2020,28.2,25.2,84.4,6.2,1008,0
7/05/2020,29.6,25,77.3,6.3,1007.2,0
8/05/2020,29.2,24.6,77.8,7.8,1007.6,0
9/05/2020,30.5,25.1,73.6,9.2,1007.6,0
10/05/2020,29.9,25.9,79.2,14.8,1007.6,0
11/05/2020,29.2,25.6,81.5,12.1,1008,0
12/05/2020,29.7,25.6,78.5,12.1,1007.8,0
13/05/2020,28,24.4,81.1,6.3,1008.2,0
14/05/2020,28.9,24.6,77.9,7.8,1007.4,0
15/05/2020,29.8,25.1,76.5,9.3,1006.1,0
16/05/2020,29.9,25.4,76.9,11.7,1005.3,0
17/05/2020,28.6,25.4,82.9,5.9,1006.2,0
18/05/2020,28.9,25.2,80.9,6.6,1006.5,0
19/05/2020,29.8,25.8,79.2,7.4,1006.3,0
20/05/2020,28.8,24.7,78.7,7.6,1007.5,0
21/05/2020,29.3,24.8,77.3,5.3,1007.6,0
22/05/2020,28,25.3,85.2,6,1008.1,0
23/05/2020,27.8,24.7,83.6,4.5,1009,0
24/05/2020,29.2,24.9,78.3,6.6,1009.6,0
25/05/2020,30.1,25.1,75.3,8.5,1010.1,0
26/05/2020,30.1,25.1,75.7,5.9,1010.3,0
27/05/2020,27.7,25.1,86.3,7,1010.5,0
28/05/2020,29.5,25.5,79,10.2,1009.4,0
29/05/2020,29.4,25.1,77.8,8.2,1009.8,0
30/05/2020,29,25.2,80.2,6.3,1010.1,0
1/06/2020,26.7,24,85.6,5.6,1010.7,0
2/06/2020,28.5,24.3,78.9,6.3,1009.7,0
3/06/2020,28.7,24.9,80,8.9,1008.9,0
4/06/2020,28.5,24.4,78.9,8.2,1009,0
5/06/2020,27.5,24.6,84.7,7.7,1009.7,0
6/06/2020,27.7,24.1,81,6.4,1009.5,0
7/06/2020,29.5,24.5,74.8,7.1,1008.2,0
8/06/2020,29,24.8,78.7,6.5,1008.2,0
9/06/2020,29.7,25.2,76.9,12,1008.2,0
10/06/2020,29.5,24.9,76.4,14.2,1008.1,0
11/06/2020,28.7,24.3,77.2,8,1007.4,0
12/06/2020,29.2,24.9,77.7,8.3,1006.5,0
13/06/2020,26.3,23.7,85.7,6.3,1007.7,0
14/06/2020,28.1,24.8,82.7,6.6,1008.1,0
15/06/2020,29.6,24.8,75.6,10.9,1008.6,0
16/06/2020,28.4,25,82.2,7,1008.6,0
17/06/2020,27.1,24.7,86.6,5.3,1009,0
18/06/2020,27.5,24.4,83.3,4.9,1009.7,0
19/06/2020,27.6,24.6,84,6.5,1009.3,0
20/06/2020,26.7,24.9,90.1,5.9,1008.7,0
21/06/2020,26.6,24.5,88.3,4.7,1007.4,0
22/06/2020,26.9,24.6,87.6,5.8,1007.4,0
23/06/2020,26.4,24.3,88.5,7.3,1008.4,0
24/06/2020,26.9,23.9,84.3,9.3,1009.2,0
25/06/2020,28.1,23.7,77.1,9.2,1007.9,0
26/06/2020,28.6,24.4,78.8,8.5,1008,0
27/06/2020,29.4,25,77,14,1008.4,0
28/06/2020,29.3,24.8,76.8,12.7,1008.6,0
29/06/2020,29,24.7,77.8,12.3,1008,0
1/07/2020,28.8,24.3,77,9.6,1007.9,0
2/07/2020,29,24.7,77.8,12.7,1007.8,0
3/07/2020,29.6,24.2,73.1,13.6,1008.4,0
4/07/2020,28.8,24.4,77.7,12.7,1008.8,0
5/07/2020,28,24,79.8,7.8,1007.9,0
6/07/2020,29.1,24.3,75.5,13.3,1007.3,0
7/07/2020,28,24.1,79.8,6.5,1008.4,0
8/07/2020,27.2,23.9,82.4,4.8,1008.3,0
9/07/2020,26.4,23.4,83.6,7.9,1008.5,0
10/07/2020,27.3,23,78,7.3,1008.9,0
11/07/2020,27.4,24.2,83.1,6.5,1008.5,0
12/07/2020,28.6,24.1,76.9,8,1007.9,0
13/07/2020,26.4,24.1,87.7,7.7,1008.2,0
14/07/2020,27,23.4,80.2,7.5,1008.2,0
15/07/2020,27.8,24.3,81.6,6.9,1007.3,0
16/07/2020,28.3,24.1,79,7.7,1006.9,0
17/07/2020,28.8,24,76.2,7,1007.3,0
18/07/2020,27.9,24,79.7,7.9,1008,0
19/07/2020,28.6,23.9,76.2,8.6,1007.6,0
20/07/2020,29.2,24.2,74.5,12.9,1007.2,0
21/07/2020,29,24,74.8,10.6,1007.6,0
22/07/2020,28,24.1,79.6,6,1007.7,0
23/07/2020,27.8,23.5,78,6.5,1008.1,0
24/07/2020,27.9,24,79.9,8.8,1008.3,0
25/07/2020,27.3,24,82.6,7.8,1008.1,0
26/07/2020,27.8,24.1,80.9,12.4,1007.9,0
27/07/2020,27.3,24.1,83,9.7,1007.8,0
28/07/2020,28.1,24.1,78.9,9.4,1007.8,0
29/07/2020,26.2,23.8,86.8,4.5,1008.5,0
30/07/2020,28.2,24.4,80.2,7.5,1008.5,0
